Age,Gender,School_Grade,Daily_Usage_Hours,Sleep_Hours,Academic_Performance,Social_Interactions,Exercise_Hours,Anxiety_Level,Depression_Level,Self_Esteem,Parental_Control,Screen_Time_Before_Bed,Phone_Checks_Per_Day,Apps_Used_Daily,Time_on_Social_Media,Time_on_Gaming,Time_on_Education,Phone_Usage_Purpose,Family_Communication,Weekend_Usage_Hours,Addiction_Level,Night_Usage,Social_to_Edu_Ratio,Gaming_to_Social_Ratio,Weekend_Overuse,Phone_Obsessiveness,Sleep_Deficit,Usage_Bin,Usage_Group,Anxiety_Class,Depression_Class,Anxiety_Level_Class,Depression_Level_Class
13,0,5,4.0,6.1,78,5,0.1,10,3,8,0,1.4,86,19,3.6,1.7,1.2,0,4,8.7,10.0,2.6,2.0909090909090904,0.5869565217391305,4.699999999999999,4.3,1.9000000000000004,"(2, 4]",2–4,1,0,1,0
17,0,3,5.5,6.5,70,5,0.0,3,7,3,0,0.9,96,9,1.1,4.0,1.8,0,2,5.3,10.0,4.6,0.7500000000000001,2.380952380952381,-0.20000000000000018,9.6,1.5,"(4, 6]",4–6,0,1,0,1
13,2,1,5.8,5.5,93,8,0.8,2,3,10,0,0.5,137,8,0.3,1.5,0.4,1,6,5.7,9.2,5.3,0.9285714285714287,1.923076923076923,-0.09999999999999964,15.222222222222221,2.5,"(4, 6]",4–6,0,0,0,0
18,0,2,3.1,3.9,78,8,1.6,9,10,3,0,1.4,128,7,3.1,1.6,0.8,4,8,3.0,9.8,1.7000000000000002,2.2777777777777777,0.6341463414634148,-0.10000000000000009,16.0,4.1,"(2, 4]",2–4,1,1,1,1
14,2,5,2.5,6.7,56,4,1.1,1,5,1,0,1.0,96,20,2.6,0.9,1.1,2,10,3.7,8.6,1.5,1.7142857142857142,0.5277777777777778,1.2000000000000002,4.571428571428571,1.2999999999999998,"(2, 4]",2–4,0,0,0,0
13,0,0,3.9,6.3,89,3,0.7,7,1,3,0,1.1,135,8,3.8,0.0,1.4,4,7,6.0,8.8,2.8,2.0,0.20833333333333334,2.1,15.0,1.7000000000000002,"(2, 4]",2–4,1,0,1,0
16,1,1,6.3,6.7,89,3,0.9,6,7,9,0,0.8,129,9,1.8,2.7,1.0,1,7,7.8,10.0,5.5,1.4,1.3214285714285716,1.5,12.9,1.2999999999999998,"(6, 8]",6–8,1,1,1,1
13,2,0,5.1,6.1,70,2,2.2,5,6,8,0,1.0,34,7,2.3,1.6,0.5,0,9,8.0,8.0,4.1,2.1999999999999997,0.787878787878788,2.9000000000000004,4.25,1.9000000000000004,"(4, 6]",4–6,0,1,0,1
13,1,4,3.0,9.1,79,0,1.8,1,7,6,0,0.9,70,13,2.7,2.2,1.3,1,10,9.1,7.3,2.1,1.6086956521739133,0.8648648648648649,6.1,5.0,-1.0999999999999996,"(2, 4]",2–4,0,1,0,1
18,2,1,3.9,5.8,89,8,1.1,9,1,9,0,0.9,121,13,2.7,0.4,1.0,3,9,2.9,9.1,3.0,1.85,0.37837837837837834,-1.0,8.642857142857142,2.2,"(2, 4]",2–4,1,0,1,0
